CustomerID,Name,Age,Email,Phone,Country,Salary,IssueFlag
CUST1,John,200,john547@company.com,123,UnknownCountry,70000,NO
CUST2,Alice,200,sara662@yahoo.com,9876543210,UnknownCountry,-1000,NO
CUST3,David,-10,alice346@gmail.com,9876543210,UnknownCountry,-1000,NO
CUST4,John,200,david921@yahoo.com,INVALID_PHONE,USA,50000,NO
CUST5,,200,emma721@gmail.com,9876543210,UnknownCountry,-1000,NO
CUST6,John,-10,mike574@yahoo.com,9876543210,UnknownCountry,50000,NO
CUST7,John,200,alice676@yahoo.com,INVALID_PHONE,UnknownCountry,70000,NO
CUST8,John,25,sara363@gmail.com,123,UnknownCountry,999999999,NO
CUST9,David,-10,sara432@gmail.com,9876543210,UnknownCountry,70000,NO
CUST10,,Twenty,sara699@yahoo.com,9876543210,,70000,NO
CUST11,Alice,Twenty,sara195@company.com,123,India,-1000,NO
CUST12,John,-10,sara341@yahoo.com,123,USA,-1000,NO
CUST13,John,25,david357@yahoo.com,123,,999999999,NO
CUST14,John,35,emma132@yahoo.com,INVALID_PHONE,India,-1000,NO
CUST15,David,25,john844@yahoo.com,9876543210,,999999999,NO
CUST16,John,35,john471@yahoo.com,INVALID_PHONE,India,70000,NO
CUST17,Alice,200,sara598@company.com,9876543210,,50000,NO
CUST18,Alice,25,emma763@yahoo.com,INVALID_PHONE,UnknownCountry,999999999,NO
CUST19,David,-10,mike608@company.com,123,India,50000,NO
CUST20,David,200,sara940@gmail.com,9876543210,,70000,NO
CUST21,John,35,emma611@yahoo.com,9876543210,USA,70000,NO
CUST22,David,Twenty,mike134@gmail.com,123,,70000,NO
CUST23,,200,sara593@company.com,123,UnknownCountry,50000,NO
CUST24,Alice,35,john70@yahoo.com,INVALID_PHONE,UnknownCountry,-1000,NO
CUST25,,35,alice155@gmail.com,INVALID_PHONE,India,70000,NO
CUST26,,-10,mike602@gmail.com,INVALID_PHONE,USA,999999999,NO
CUST27,,35,alice289@gmail.com,INVALID_PHONE,India,70000,NO
CUST28,John,Twenty,emma853@yahoo.com,9876543210,USA,999999999,NO
CUST29,John,35,alice686@company.com,INVALID_PHONE,India,70000,NO
CUST30,,200,sara692@gmail.com,9876543210,,50000,NO
CUST31,,Twenty,david387@company.com,123,India,999999999,NO
CUST32,,200,sara541@yahoo.com,9876543210,UnknownCountry,70000,NO
CUST33,David,-10,john810@yahoo.com,9876543210,,-1000,NO
CUST34,Alice,Twenty,emma686@company.com,123,USA,-1000,NO
CUST35,,200,alice83@yahoo.com,123,India,50000,NO
CUST36,David,-10,john142@gmail.com,123,,-1000,NO
CUST37,John,Twenty,mike673@yahoo.com,123,USA,999999999,NO
CUST38,John,35,david550@gmail.com,9876543210,India,70000,NO
CUST39,John,-10,emma522@yahoo.com,INVALID_PHONE,UnknownCountry,999999999,NO
CUST40,Alice,-10,emma387@yahoo.com,9876543210,,50000,YES
CUST41,John,35,alice575@company.com,123,India,50000,NO
CUST42,David,35,sara747@yahoo.com,INVALID_PHONE,USA,70000,NO
CUST43,,25,john663@yahoo.com,123,UnknownCountry,-1000,NO
CUST44,Alice,200,mike644@company.com,9876543210,India,70000,NO
CUST45,David,-10,alice302@yahoo.com,9876543210,USA,50000,NO
CUST46,,200,mike576@company.com,123,,50000,NO
CUST47,Alice,25,alice480@company.com,9876543210,UnknownCountry,-1000,NO
CUST48,,Twenty,alice1@company.com,123,UnknownCountry,70000,NO
CUST49,David,Twenty,david543@gmail.com,INVALID_PHONE,,50000,NO
CUST50,,-10,david57@gmail.com,INVALID_PHONE,USA,50000,NO
CUST51,John,Twenty,david172@company.com,9876543210,,-1000,NO
CUST52,Alice,35,emma554@gmail.com,123,India,-1000,NO
CUST53,John,25,david571@company.com,INVALID_PHONE,India,50000,NO
CUST54,David,-10,david969@company.com,INVALID_PHONE,UnknownCountry,50000,NO
CUST55,Alice,35,emma910@company.com,123,UnknownCountry,50000,NO
CUST56,Alice,200,mike239@company.com,123,,999999999,NO
CUST57,David,25,emma299@gmail.com,9876543210,,-1000,NO
CUST58,John,Twenty,sara889@gmail.com,123,UnknownCountry,50000,NO
CUST59,David,35,david77@yahoo.com,INVALID_PHONE,UnknownCountry,70000,NO
CUST60,David,-10,@gmail.com,123,USA,-1000,NO
CUST61,,Twenty,sara53@gmail.com,123,India,70000,NO
CUST62,Alice,200,emma683@yahoo.com,9876543210,UnknownCountry,999999999,NO
CUST63,Alice,-10,emma623@company.com,123,USA,50000,NO
CUST64,,25,david156@company.com,INVALID_PHONE,UnknownCountry,-1000,NO
CUST65,,25,david365@yahoo.com,9876543210,,50000,NO
CUST66,,25,david783@gmail.com,9876543210,,70000,NO
CUST67,David,25,mike272@yahoo.com,INVALID_PHONE,,-1000,NO
CUST68,John,200,emma313@company.com,9876543210,USA,-1000,NO
CUST69,John,35,mike508@gmail.com,9876543210,,70000,NO
CUST70,John,-10,alice71@gmail.com,123,USA,50000,NO
CUST71,David,Twenty,mike513@company.com,9876543210,USA,70000,NO
CUST72,,25,sara64@company.com,123,UnknownCountry,999999999,NO
CUST73,David,25,mike443@yahoo.com,9876543210,,999999999,NO
CUST74,,35,david550@gmail.com,9876543210,India,50000,NO
CUST75,John,-10,david729@gmail.com,9876543210,,-1000,NO
CUST76,David,Twenty,alice645@yahoo.com,9876543210,UnknownCountry,-1000,NO
CUST77,David,-10,emma728@yahoo.com,9876543210,India,-1000,NO
CUST78,David,200,mike590@gmail.com,INVALID_PHONE,India,999999999,NO
CUST79,,Twenty,alice116@gmail.com,9876543210,India,70000,NO
CUST80,Alice,25,mike726@gmail.com,9876543210,India,70000,YES
CUST81,,25,mike583@gmail.com,123,USA,999999999,NO
CUST82,John,Twenty,david635@gmail.com,INVALID_PHONE,USA,70000,NO
CUST83,David,Twenty,john975@company.com,123,,50000,NO
CUST84,Alice,35,mike999@company.com,123,,999999999,NO
CUST85,,35,alice902@yahoo.com,9876543210,UnknownCountry,50000,NO
CUST86,David,-10,david290@company.com,INVALID_PHONE,India,999999999,NO
CUST87,David,200,john516@gmail.com,INVALID_PHONE,India,999999999,NO
CUST88,David,35,john717@yahoo.com,9876543210,USA,-1000,NO
CUST89,John,25,john956@gmail.com,9876543210,India,70000,NO
CUST90,John,25,alice582@gmail.com,123,USA,-1000,NO
CUST91,Alice,Twenty,david804@company.com,INVALID_PHONE,UnknownCountry,70000,NO
CUST92,Alice,-10,mike827@yahoo.com,INVALID_PHONE,USA,-1000,NO
CUST93,John,Twenty,sara714@company.com,9876543210,,999999999,NO
CUST94,David,200,john218@yahoo.com,INVALID_PHONE,India,999999999,NO
CUST95,,35,emma335@gmail.com,9876543210,USA,70000,NO
CUST96,David,200,john910@gmail.com,INVALID_PHONE,India,-1000,NO
CUST97,,35,emma674@gmail.com,123,,70000,NO
CUST98,David,25,david476@yahoo.com,9876543210,UnknownCountry,-1000,NO
CUST99,,25,mike756@gmail.com,INVALID_PHONE,India,999999999,NO
CUST100,,Twenty,sara226@yahoo.com,INVALID_PHONE,India,50000,NO
CUST101,,35,sara749@gmail.com,9876543210,UnknownCountry,999999999,NO
CUST102,Alice,Twenty,mike991@yahoo.com,9876543210,India,999999999,NO
CUST103,David,200,alice607@yahoo.com,123,India,50000,NO
CUST104,Alice,Twenty,sara235@gmail.com,123,India,999999999,NO
CUST105,Alice,35,emma89@gmail.com,123,,999999999,NO
CUST106,John,Twenty,david180@gmail.com,9876543210,,50000,NO
CUST107,,25,emma86@yahoo.com,9876543210,India,999999999,NO
CUST108,Alice,Twenty,alice123@yahoo.com,123,,999999999,NO
CUST109,Alice,35,alice446@yahoo.com,INVALID_PHONE,India,70000,NO
CUST110,,200,alice860@company.com,9876543210,India,999999999,NO
CUST111,Alice,-10,mike735@yahoo.com,9876543210,India,999999999,NO
CUST112,John,Twenty,alice719@company.com,123,USA,-1000,NO
CUST113,,25,emma86@yahoo.com,123,UnknownCountry,-1000,NO
CUST114,David,25,david322@yahoo.com,123,,999999999,NO
CUST115,Alice,Twenty,david315@yahoo.com,INVALID_PHONE,India,-1000,NO
