issue_type,issue_detail,columns_involved,CUSTOMER_ID,CUSTOMER_NAME,EMAIL,AGE,SALARY,JOIN_DATE,COUNTRY_CODE,STATUS
null_blank,Null values detected in column EMAIL,EMAIL,1004,Alice Williams,,31,70000.0,2020-11-05,US,INACTIVE
null_blank,Null values detected in column EMAIL,EMAIL,1013,Kate Thomas,,25,62000.0,2023-01-10,UK,INACTIVE
null_blank,Null values detected in column SALARY,SALARY,1015,Mia Garcia,mia.garcia@example.com,29,,,US,ACTIVE
null_blank,Null values detected in column JOIN_DATE,JOIN_DATE,1006,Diana Prince,diana.prince@example.com,5,60000.0,,,ACTIVE
null_blank,Null values detected in column JOIN_DATE,JOIN_DATE,1015,Mia Garcia,mia.garcia@example.com,29,,,US,ACTIVE
null_blank,Null values detected in column COUNTRY_CODE,COUNTRY_CODE,1006,Diana Prince,diana.prince@example.com,5,60000.0,,,ACTIVE
null_blank,Null values detected in column STATUS,STATUS,1007,Eve Davis,eve.davis@example.com,29,55000.0,2022-02-14,UK,
outliers,"Outliers detected in numeric column AGE using IQR method (IQR multiplier=1.5, lower=13.75, upper=53.75)",AGE,1005,Charlie Brown,charlie@invalid,120,95000.0,2018-05-20,US,ACTIVE
outliers,"Outliers detected in numeric column AGE using IQR method (IQR multiplier=1.5, lower=13.75, upper=53.75)",AGE,1006,Diana Prince,diana.prince@example.com,5,60000.0,,,ACTIVE
outliers,"Outliers detected in numeric column SALARY using IQR method (IQR multiplier=1.5, lower=31000.0, upper=111000.0)",SALARY,1012,Jack Anderson,jack.anderson@example.com,52,1000000.0,2016-04-12,US,ACTIVE
outliers,"Outliers detected in numeric column SALARY using IQR method (IQR multiplier=1.5, lower=31000.0, upper=111000.0)",SALARY,1016,Noah Rodriguez,noah@test,36,10000.0,2019-11-15,IN,ACTIVE
outliers,"Outliers detected in numeric column JOIN_DATE using IQR method (IQR multiplier=1.5, lower=1368651600000000.0, upper=1787259600000000.0)",JOIN_DATE,1006,Diana Prince,diana.prince@example.com,5,60000.0,,,ACTIVE
outliers,"Outliers detected in numeric column JOIN_DATE using IQR method (IQR multiplier=1.5, lower=1368651600000000.0, upper=1787259600000000.0)",JOIN_DATE,1015,Mia Garcia,mia.garcia@example.com,29,,,US,ACTIVE
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,1005,Charlie Brown,charlie@invalid,120,95000.0,2018-05-20,US,ACTIVE
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,1016,Noah Rodriguez,noah@test,36,10000.0,2019-11-15,IN,ACTIVE
pattern_violations,Regex pattern validation failed for column EMAIL,EMAIL,1005,Charlie Brown,charlie@invalid,120,95000.0,2018-05-20,US,ACTIVE
pattern_violations,Regex pattern validation failed for column EMAIL,EMAIL,1016,Noah Rodriguez,noah@test,36,10000.0,2019-11-15,IN,ACTIVE
business_rule_violations,Business rule 'active_customer_should_have_join_date' failed,"STATUS,JOIN_DATE",1006,Diana Prince,diana.prince@example.com,5,60000.0,,,ACTIVE
business_rule_violations,Business rule 'active_customer_should_have_join_date' failed,"STATUS,JOIN_DATE",1015,Mia Garcia,mia.garcia@example.com,29,,,US,ACTIVE
