issue_type,issue_detail,columns_involved,METERID,CONSUMERNAME,UNITSCONSUMED,BILLAMOUNT,BILLINGDATE,EMAIL,REGION,ISSUEFLAG
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR55,Ravi,250,-200,2025-05-01,invalidmail,North,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR110,Ravi,100,1500,2025-05-01,@gmail.com,,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR165,Neha,-50,500,2025-05-01,test@@gmail.com,South,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR220,,999999,500,2025-05-01,@gmail.com,InvalidRegion,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR275,Neha,-50,9999999,2025-05-01,invalidmail,,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR330,Priya,999999,-200,2025-05-01,invalidmail,North,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR385,Priya,100,9999999,2025-05-01,missingdomain@,InvalidRegion,YES
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR440,,999999,9999999,2025-05-01,missingdomain@,South,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR495,Priya,250,1500,2025-05-01,missingdomain@,InvalidRegion,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR550,Priya,250,1500,2025-05-01,missingdomain@,North,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR605,Ravi,100,1500,2025-05-01,@gmail.com,South,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR660,Neha,100,-200,2025-05-01,missingdomain@,InvalidRegion,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR715,,999999,500,2025-05-01,@gmail.com,South,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR770,,999999,9999999,2025-05-01,@gmail.com,,YES
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR825,,999999,-200,2025-05-01,invalidmail,,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR880,Priya,100,500,2025-05-01,invalidmail,,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR935,Priya,250,-200,2025-05-01,@gmail.com,,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR990,Ravi,250,1500,2100-01-01,@gmail.com,South,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR1045,Neha,-50,1500,2025-05-01,invalidmail,InvalidRegion,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR1100,Ravi,999999,500,2025-05-01,invalidmail,North,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR1155,Priya,100,-200,2025-05-01,missingdomain@,North,YES
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR1210,Neha,100,1500,2025-05-01,invalidmail,InvalidRegion,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR1265,,250,9999999,2025-05-01,missingdomain@,,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR1320,Ravi,100,9999999,2025-05-01,test@@gmail.com,South,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR1375,,-50,-200,2025-05-01,invalidmail,South,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR50,Ravi,-50,-200,2025-05-01,test@@gmail.com,North,NO
invalid_emails,Malformed email syntax detected in column EMAIL,EMAIL,MTR1485,Ravi,100,-200,2025-05-01,test@@gmail.com,North,NO
