METERID,CONSUMERNAME,UNITSCONSUMED,BILLAMOUNT,BILLINGDATE,EMAIL,REGION,ISSUEFLAG
MTR1,Priya,250,1500,2025-05-01,david346@gmail.com,South,NO
MTR2,Neha,250,500,2025-05-01,john841@gmail.com,North,NO
MTR3,,999999,9999999,2025-05-01,alice893@company.com,South,NO
MTR4,,-50,-200,2025-05-01,david616@gmail.com,InvalidRegion,NO
MTR5,Priya,999999,500,2025-05-01,john680@yahoo.com,,NO
MTR6,,100,1500,2025-05-01,david430@company.com,,NO
MTR7,,100,9999999,2025-05-01,alice288@company.com,North,NO
MTR8,,999999,500,2025-05-01,david49@gmail.com,InvalidRegion,NO
MTR9,Ravi,250,1500,2025-05-01,sara418@gmail.com,South,NO
MTR10,Ravi,999999,9999999,2025-05-01,alice845@company.com,North,NO
MTR11,,250,500,2025-05-01,sara844@company.com,InvalidRegion,NO
MTR12,Ravi,100,500,2025-05-01,john136@gmail.com,South,NO
MTR13,Priya,100,500,2025-05-01,mike706@yahoo.com,North,NO
MTR14,,100,9999999,2025-05-01,david782@gmail.com,North,NO
MTR15,Neha,250,1500,2025-05-01,sara233@yahoo.com,South,NO
MTR16,Ravi,999999,-200,2025-05-01,emma221@yahoo.com,InvalidRegion,NO
MTR17,,250,-200,2025-05-01,david489@yahoo.com,North,NO
MTR18,Priya,999999,500,2025-05-01,david736@yahoo.com,North,NO
MTR19,Ravi,999999,1500,2025-05-01,alice679@yahoo.com,North,NO
MTR20,Ravi,-50,9999999,2025-05-01,alice541@company.com,InvalidRegion,NO
MTR21,,100,500,2025-05-01,sara900@yahoo.com,InvalidRegion,NO
MTR22,Neha,100,1500,2025-05-01,sara842@yahoo.com,North,NO
MTR23,Ravi,100,9999999,2025-05-01,alice247@yahoo.com,,NO
MTR24,Priya,-50,-200,2025-05-01,mike387@company.com,InvalidRegion,NO
MTR25,Neha,999999,9999999,2025-05-01,david433@gmail.com,South,NO
MTR26,Neha,100,9999999,2025-05-01,emma495@yahoo.com,InvalidRegion,NO
MTR27,Priya,100,500,2025-05-01,sara315@company.com,InvalidRegion,NO
MTR28,Priya,250,500,2025-05-01,emma265@yahoo.com,InvalidRegion,NO
MTR29,Ravi,-50,9999999,2025-05-01,david281@yahoo.com,South,NO
MTR30,,-50,500,2025-05-01,mike591@yahoo.com,,NO
MTR31,,999999,-200,2025-05-01,david784@yahoo.com,InvalidRegion,NO
MTR32,Ravi,-50,-200,2025-05-01,john129@yahoo.com,InvalidRegion,NO
