METERID,CONSUMERNAME,UNITSCONSUMED,BILLAMOUNT,BILLINGDATE,EMAIL,REGION,ISSUEFLAG
MTR1141,Ravi,-50,9999999,2025-05-01,john304@company.com,North,NO
MTR1142,Priya,250,9999999,2025-05-01,sara619@company.com,InvalidRegion,NO
MTR1143,Ravi,999999,1500,2025-05-01,alice287@yahoo.com,South,NO
MTR1144,Priya,999999,500,2025-05-01,emma399@company.com,InvalidRegion,NO
MTR1145,Neha,100,1500,2025-05-01,alice145@gmail.com,South,NO
MTR1146,Ravi,100,9999999,2025-05-01,emma624@gmail.com,North,NO
MTR1147,Priya,999999,1500,2025-05-01,david298@company.com,InvalidRegion,NO
MTR1148,Neha,-50,-200,2025-05-01,emma105@company.com,South,NO
MTR1149,Neha,999999,1500,2025-05-01,david101@yahoo.com,InvalidRegion,NO
MTR1150,Ravi,250,-200,2025-05-01,emma882@yahoo.com,InvalidRegion,NO
MTR1151,Ravi,250,500,2025-05-01,emma797@yahoo.com,,NO
MTR1152,Ravi,999999,1500,2025-05-01,john288@gmail.com,InvalidRegion,NO
MTR1153,Priya,999999,500,2025-05-01,emma55@yahoo.com,InvalidRegion,NO
MTR1154,,250,-200,2025-05-01,emma361@yahoo.com,InvalidRegion,NO
MTR1155,Priya,100,-200,2025-05-01,missingdomain@,North,YES
MTR1156,Priya,250,500,2025-05-01,john929@company.com,South,NO
MTR1157,Ravi,-50,-200,2025-05-01,john701@gmail.com,InvalidRegion,NO
MTR1158,Ravi,-50,9999999,2025-05-01,john297@gmail.com,North,NO
MTR1159,Priya,999999,9999999,2025-05-01,mike978@yahoo.com,InvalidRegion,NO
MTR1160,Priya,250,-200,2025-05-01,john540@yahoo.com,South,NO
MTR1161,Neha,999999,-200,2025-05-01,david845@company.com,South,NO
MTR1162,Neha,250,-200,2025-05-01,john332@gmail.com,South,NO
MTR1163,Priya,250,1500,2025-05-01,mike442@company.com,InvalidRegion,NO
MTR1164,Neha,100,9999999,2025-05-01,emma123@company.com,,NO
