issue_type,issue_detail,columns_involved,METERID,CONSUMERNAME,UNITSCONSUMED,BILLAMOUNT,BILLINGDATE,EMAIL,REGION,ISSUEFLAG
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR3,,999999,9999999,2025-05-01,alice893@company.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR5,Priya,999999,500,2025-05-01,john680@yahoo.com,,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR8,,999999,500,2025-05-01,david49@gmail.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR10,Ravi,999999,9999999,2025-05-01,alice845@company.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR16,Ravi,999999,-200,2025-05-01,emma221@yahoo.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR18,Priya,999999,500,2025-05-01,david736@yahoo.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR19,Ravi,999999,1500,2025-05-01,alice679@yahoo.com,North,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR25,Neha,999999,9999999,2025-05-01,david433@gmail.com,South,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR31,,999999,-200,2025-05-01,david784@yahoo.com,InvalidRegion,NO
outliers,"Outliers detected in numeric column UNITSCONSUMED using IQR method (IQR multiplier=1.5, lower=-125.0, upper=475.0)",UNITSCONSUMED,MTR34,Ravi,999999,1500,2025-05-01,john671@yahoo.com,,NO
