issue_type,issue_detail,columns_involved,CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,GENDER,DOB,CITY,SALARY
pattern_violations,Regex pattern validation failed for column EMAIL,EMAIL,1021,Rakesh,Gupta,invalid@,9876500020,,1979-09-04,Hyderabad,56031
pattern_violations,Regex pattern validation failed for column EMAIL,EMAIL,1061,Neha,Reddy,invalid@,9876500060,Other,1970-11-07,Bangalore,582170
pattern_violations,Regex pattern validation failed for column EMAIL,EMAIL,1101,Kavya,Kumar,invalid@,,,1980-08-27,Mumbai,85298
pattern_violations,Regex pattern validation failed for column EMAIL,EMAIL,1141,Anjali,Reddy,invalid@,9876500140,Female,1991-11-30,Bangalore,88625
pattern_violations,Regex pattern validation failed for column EMAIL,EMAIL,1181,Amit,Rao,invalid@,9876500180,,1984-08-21,Delhi,845424
pattern_violations,Regex pattern validation failed for column EMAIL,EMAIL,1221,Arjun,Reddy,invalid@,9876500220,,2014-10-16,Hyderabad,80208
pattern_violations,Regex pattern validation failed for column EMAIL,EMAIL,1261,Kavya,Singh,invalid@,9876500260,Other,1992-10-04,Pune,40222
pattern_violations,Regex pattern validation failed for column EMAIL,EMAIL,1301,Rakesh,Verma,invalid@,,,1974-09-26,Bangalore,1000000
pattern_violations,Regex pattern validation failed for column EMAIL,EMAIL,1341,Amit,Rao,invalid@,9876500340,,2006-03-04,Delhi,49344
pattern_violations,Regex pattern validation failed for column EMAIL,EMAIL,1381,Arjun,Joshi,invalid@,9876500380,,1982-08-01,Ahmedabad,73093
pattern_violations,Regex pattern validation failed for column EMAIL,EMAIL,1421,Neha,Reddy,invalid@,9876500420,,1981-04-27,Ahmedabad,429513
pattern_violations,Regex pattern validation failed for column EMAIL,EMAIL,1461,Amit,Verma,invalid@,9876500460,,1989-10-04,Kolkata,46837
pattern_violations,Regex pattern validation failed for column EMAIL,EMAIL,1501,Vijay,Kumar,invalid@,,Male,2004-07-30,Bangalore,65384
pattern_violations,Regex pattern validation failed for column EMAIL,EMAIL,1541,Priya,Verma,invalid@,9876500540,,2000-01-04,Hyderabad,912844
pattern_violations,Regex pattern validation failed for column EMAIL,EMAIL,1581,Vijay,Patel,invalid@,9876500580,Other,invalid,Hyderabad,55207
