issue_type,issue_detail,columns_involved,CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,GENDER,DOB,CITY,SALARY
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,1026,Arjun,Gupta,user25@example.com,123,,1986-06-11,Hyderabad,54573
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,1076,Anjali,Singh,user75@example.com,123,Female,1970-02-23,Bangalore,1000
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,1126,Neha,Mehta,user125@example.com,123,Male,1997-11-04,Bangalore,61432
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,1176,Arjun,Reddy,user175@example.com,123,,1978-12-18,Mumbai,38294
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,1226,Anjali,Verma,user225@example.com,123,,1976-09-01,Hyderabad,1000
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,1276,Arjun,Reddy,user275@example.com,123,,1995-12-23,Mumbai,69140
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,1326,Anjali,Reddy,user325@example.com,123,Female,1973-11-16,Pune,41467
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,1376,Sneha,Singh,user375@example.com,123,Male,1975-06-05,Mumbai,1000
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,1426,Anjali,Kumar,user425@example.com,123,Female,2003-09-14,Chennai,58606
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,1476,Sneha,Mehta,user475@example.com,123,,1989-12-27,Hyderabad,26650
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,1526,Vijay,Gupta,user525@example.com,123,Female,1987-03-31,Hyderabad,1000
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,1576,Amit,Verma,user575@example.com,123,,2018-12-01,Bangalore,68324
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,1626,Rakesh,Singh,user625@example.com,123,,1998-05-08,Bangalore,62120
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,1676,Sameer,Joshi,user675@example.com,123,Other,1995-07-30,Hyderabad,1000
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,1726,Neha,Gupta,user725@example.com,123,Other,1995-03-31,Kolkata,105432
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,1776,Sameer,Mehta,user775@example.com,123,Other,2017-08-04,Bangalore,36422
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,1826,Anjali,Verma,user825@example.com,123,Male,1990-04-26,Hyderabad,1000
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,1876,Anjali,Verma,user875@example.com,123,Female,2014-09-24,Bangalore,51988
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,1926,Vijay,Verma,user925@example.com,123,Female,1986-05-29,Bangalore,74923
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,1976,Sneha,Singh,user975@example.com,123,,2015-05-10,Hyderabad,1000
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,2026,Vijay,Sharma,user1025@example.com,123,Male,1973-07-04,Mumbai,58254
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,2076,Sneha,Gupta,user1075@example.com,123,Male,2011-04-27,Delhi,40427
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,2126,Sneha,Sharma,user1125@example.com,123,,1993-11-25,Chennai,1000
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,2176,Arjun,Kumar,user1175@example.com,123,,1972-03-05,Kolkata,71476
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,2226,Neha,Joshi,user1225@example.com,123,Female,1980-02-29,Mumbai,75072
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,2276,Arjun,Kumar,user1275@example.com,123,Female,1985-03-22,Kolkata,1000
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,2326,Rakesh,Reddy,user1325@example.com,123,Female,1978-08-05,Mumbai,51776
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,2376,Anjali,Sharma,user1375@example.com,123,Male,2011-01-15,Ahmedabad,82843
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,2426,Rakesh,Mehta,user1425@example.com,123,Female,1972-12-22,Hyderabad,1000
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,2476,Sameer,Sharma,user1475@example.com,123,Female,1994-03-31,Pune,49493
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,2526,Amit,Gupta,user1525@example.com,123,Male,1972-08-14,Delhi,75910
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,2576,Arjun,Gupta,user1575@example.com,123,,1999-11-11,Hyderabad,1000
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,2626,Anjali,Mehta,user1625@example.com,123,,2015-03-02,Chennai,69111
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,2676,Sneha,Gupta,user1675@example.com,123,,2015-01-22,Delhi,57628
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=9876494688.5, upper=9876515102.5)",PHONE,2726,Rakesh,Singh,user1725@example.com,123,,1970-12-15,Mumbai,1000
