issue_type,issue_detail,columns_involved,EMP_ID,EMP_NAME,EMAIL,PHONE,SALARY,DEPT_ID,JOIN_DATE
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=8628831066.25, upper=10462283618.25)",PHONE,751,Employee_751,employee751@example.com,12345,132591,3,2024-02-19
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=8628831066.25, upper=10462283618.25)",PHONE,752,Employee_752,employee752@example.com,12345,43313,17,2023-08-02
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=8628831066.25, upper=10462283618.25)",PHONE,753,Employee_753,employee753@example.com,12345,104047,10,2021-08-08
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=8628831066.25, upper=10462283618.25)",PHONE,754,Employee_754,employee754@example.com,12345,85565,4,2024-02-15
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=8628831066.25, upper=10462283618.25)",PHONE,755,Employee_755,employee755@example.com,12345,71341,4,2022-12-08
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=8628831066.25, upper=10462283618.25)",PHONE,756,Employee_756,employee756@example.com,12345,62337,10,2024-06-08
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=8628831066.25, upper=10462283618.25)",PHONE,757,Employee_757,employee757@example.com,12345,141894,2,2023-05-26
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=8628831066.25, upper=10462283618.25)",PHONE,758,Employee_758,employee758@example.com,12345,34913,17,2022-02-12
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=8628831066.25, upper=10462283618.25)",PHONE,759,Employee_759,employee759@example.com,12345,144459,12,2020-07-31
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=8628831066.25, upper=10462283618.25)",PHONE,760,Employee_760,employee760@example.com,12345,43006,9,2025-03-13
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=8628831066.25, upper=10462283618.25)",PHONE,761,Employee_761,employee761@example.com,12345,102990,20,2021-12-09
outliers,"Outliers detected in numeric column PHONE using IQR method (IQR multiplier=1.5, lower=8628831066.25, upper=10462283618.25)",PHONE,762,Employee_762,employee762@example.com,12345,143815,1,2021-04-13
