issue_type,issue_detail,columns_involved,CUSTOMER_ID,CUSTOMER_NAME,EMAIL,PHONE,COUNTRY,STATE,CITY,POSTAL_CODE,REGISTRATION_DATE,LAST_PURCHASE_DATE,PURCHASE_AMOUNT,TOTAL_ORDERS,CREDIT_SCORE,ACCOUNT_STATUS,IS_ACTIVE,CUSTOMER_SEGMENT,CREATED_DATE,UPDATED_DATE
null_blank,Null values detected in column CUSTOMER_NAME,CUSTOMER_NAME,21,,missing.name@example.com,5551111111,USA,California,San Diego,92101,2024-01-15,2024-02-15,800.0,14.0,715.0,ACTIVE,1,STANDARD,2026-06-16 10:39:51,2026-06-16 10:39:51
null_blank,Null values detected in column EMAIL,EMAIL,22,Sarah Connor,,5552222222,USA,Arizona,Phoenix,85001,2024-01-20,2024-02-10,950.0,16.0,735.0,ACTIVE,1,STANDARD,2026-06-16 10:39:51,2026-06-16 10:39:51
null_blank,Null values detected in column PHONE,PHONE,23,Tom Hardy,tom.hardy@example.com,,UK,England,Manchester,M11AA,2024-01-25,2024-02-05,1100.0,18.0,745.0,ACTIVE,1,STANDARD,2026-06-16 10:39:51,2026-06-16 10:39:51
null_blank,Null values detected in column COUNTRY,COUNTRY,24,Uma Thurman,uma.thurman@example.com,5554444444,,,,,2024-02-01,2024-01-30,700.0,12.0,705.0,ACTIVE,1,STANDARD,2026-06-16 10:39:51,2026-06-16 10:39:51
null_blank,Null values detected in column STATE,STATE,24,Uma Thurman,uma.thurman@example.com,5554444444,,,,,2024-02-01,2024-01-30,700.0,12.0,705.0,ACTIVE,1,STANDARD,2026-06-16 10:39:51,2026-06-16 10:39:51
null_blank,Null values detected in column CITY,CITY,24,Uma Thurman,uma.thurman@example.com,5554444444,,,,,2024-02-01,2024-01-30,700.0,12.0,705.0,ACTIVE,1,STANDARD,2026-06-16 10:39:51,2026-06-16 10:39:51
null_blank,Null values detected in column POSTAL_CODE,POSTAL_CODE,24,Uma Thurman,uma.thurman@example.com,5554444444,,,,,2024-02-01,2024-01-30,700.0,12.0,705.0,ACTIVE,1,STANDARD,2026-06-16 10:39:51,2026-06-16 10:39:51
null_blank,Null values detected in column REGISTRATION_DATE,REGISTRATION_DATE,25,Victor Stone,victor.stone@example.com,5555555555,USA,Nevada,Las Vegas,89101,,2024-01-25,1250.0,21.0,755.0,ACTIVE,1,STANDARD,2026-06-16 10:39:51,2026-06-16 10:39:51
null_blank,Null values detected in column LAST_PURCHASE_DATE,LAST_PURCHASE_DATE,26,Wendy Davis,wendy.davis@example.com,5556666666,Canada,Alberta,Calgary,T2P0A8,2024-02-10,,850.0,15.0,720.0,ACTIVE,1,STANDARD,2026-06-16 10:39:51,2026-06-16 10:39:51
null_blank,Null values detected in column PURCHASE_AMOUNT,PURCHASE_AMOUNT,27,Xavier Woods,xavier.woods@example.com,5557777777,USA,Oregon,Portland,97201,2024-02-15,2024-01-20,,0.0,680.0,ACTIVE,1,STANDARD,2026-06-16 10:39:51,2026-06-16 10:39:51
null_blank,Null values detected in column TOTAL_ORDERS,TOTAL_ORDERS,28,Yolanda Martinez,yolanda.martinez@example.com,5558888888,Mexico,Mexico City,Mexico City,01000,2024-02-20,2024-01-15,600.0,,690.0,ACTIVE,1,STANDARD,2026-06-16 10:39:51,2026-06-16 10:39:51
null_blank,Null values detected in column CREDIT_SCORE,CREDIT_SCORE,29,Zachary Taylor,zachary.taylor@example.com,5559999999,USA,Colorado,Denver,80201,2024-02-25,2024-01-10,1400.0,23.0,,ACTIVE,1,STANDARD,2026-06-16 10:39:51,2026-06-16 10:39:51
null_blank,Null values detected in column ACCOUNT_STATUS,ACCOUNT_STATUS,30,Amy Adams,amy.adams@example.com,5550000000,USA,Massachusetts,Boston,02101,2024-03-01,2024-01-05,950.0,17.0,725.0,,1,STANDARD,2026-06-16 10:39:51,2026-06-16 10:39:51
