CUSTOMER_ID,CUSTOMER_NAME,EMAIL,AGE,SALARY,JOIN_DATE,COUNTRY_CODE,STATUS
1001.0,John Doe,john.doe@test.com,29,55000,2024-01-10,IN,ACTIVE
1002.0,Sara Khan,sara@test,-5,62000,2024-13-01,US,ACTIVE
1003.0,,,35,,,IN,INACTIVE
1004.0,Mike Ross,mike.ross@test.com,200,-1000,2023-05-20,UK,UNKNOWN
1004.0,Mike Ross,mike.ross@test.com,41,72000,2023-05-20,UK,ACTIVE
,David Lee,david@test.com,,81000,invalid_date,INDIA,
1007.0,,anna.com,28,0,2025-02-15,IN,ACTIVE
1008.0,Anna,,32,9500000,2022-11-30,,INACTIVE
1009.0,Chris,chris@test.com,abc,67000,2021-06-31,123,123
1010.0,Tom,tom@test.com,45,NA,,IN,
